Order ID,Order Date,Product,Category,Sub-Category,Sales,Quantity,Discount,Profit,Region,Segment,Profit Margin,Price per Unit,High Discount,Month
8dab70ed-356c-4021-a86f-17ddb9170d22,2024-10-06,Toward Office Supplies,Office Supplies,Paper,282.28,4,0.1,45.3,East,Home Office,0.1604789570639082,70.57,No,2024-10
88a767dc-1074-4963-a84e-084bdd7c5104,2025-04-08,Miss Office Supplies,Office Supplies,Art,427.7,1,0.0,35.41,East,Home Office,0.08279167640869768,427.7,No,2025-04
236faa5b-6f39-4af2-a6fd-3b60a98b535e,2024-09-24,Left Office Supplies,Office Supplies,Art,206.85,9,0.3,17.18,East,Home Office,0.08305535412134397,22.983333333333334,Yes,2024-09
2abef066-38cb-48e3-bb5c-e4dbd3fed141,2024-12-21,Any Office Supplies,Office Supplies,Binders,701.16,6,0.2,51.41,East,Consumer,0.07332135318614867,116.86,No,2024-12
f1c17aa4-1783-4a6c-bc71-032c125d6693,2025-01-13,Front Furniture,Furniture,Chairs,105.75,6,0.2,18.09,East,Corporate,0.17106382978723403,17.625,No,2025-01
dfff4366-0c6a-4784-979b-5addec67f333,2024-06-20,Catch Office Supplies,Office Supplies,Binders,88.01,5,0.2,12.02,East,Corporate,0.1365753891603227,17.602,No,2024-06
93c708f7-ed22-486b-9105-ef2f98ccf49b,2025-02-13,May Office Supplies,Office Supplies,Paper,235.62,5,0.0,42.01,East,Home Office,0.1782955606485018,47.124,No,2025-02
dd796729-595d-496d-942c-beeae35b883c,2024-06-16,Argue Technology,Technology,Accessories,639.33,6,0.1,67.47,Central,Corporate,0.10553235418328562,106.555,No,2024-06
f0adc461-9203-4331-93a5-be2f09c1434a,2024-06-03,Threat Technology,Technology,Copiers,937.29,2,0.1,121.96,Central,Home Office,0.13011981350489177,468.645,No,2024-06
a56b03b3-4e0f-480f-a69f-ca1221d7918b,2025-04-25,Seven Technology,Technology,Phones,277.25,9,0.1,42.33,South,Corporate,0.152678088367899,30.805555555555557,No,2025-04
b1268d95-79b6-49ea-8b64-b83071e02485,2024-11-08,Claim Technology,Technology,Phones,407.15,2,0.1,76.13,East,Corporate,0.18698268451430677,203.575,No,2024-11
b45d8b5e-f8a3-4a30-8542-f0c06e74d827,2025-02-02,Guess Office Supplies,Office Supplies,Art,658.88,7,0.3,47.06,Central,Consumer,0.07142423506556582,94.12571428571428,Yes,2025-02
6666e1aa-aaa1-4fbd-83cb-1c8246dbbbcf,2025-02-11,Possible Technology,Technology,Phones,588.74,10,0.3,61.41,Central,Home Office,0.10430750416142949,58.874,Yes,2025-02
21aba4f2-82ba-4fc2-abf5-13886d7b3ddf,2025-02-20,Provide Technology,Technology,Copiers,758.22,2,0.1,109.27,South,Consumer,0.1441138455857139,379.11,No,2025-02
e690b67d-a43c-43b4-b6af-cc4844b422b0,2024-10-30,Different Office Supplies,Office Supplies,Binders,387.8,8,0.2,75.88,East,Corporate,0.19566787003610106,48.475,No,2024-10
78cc5a73-3d82-4fb7-b6a3-0f825f959bd0,2024-11-30,News Technology,Technology,Copiers,885.94,5,0.2,59.12,East,Home Office,0.06673138135765401,177.18800000000002,No,2024-11
39c11498-5fd0-4e1b-a31d-6edcce6dfdcb,2025-05-15,Past Furniture,Furniture,Chairs,954.28,5,0.1,120.38,South,Consumer,0.12614746196085005,190.856,No,2025-05
97d2c6c5-ad03-4439-be0d-811fb23c96b5,2025-02-22,Never Technology,Technology,Copiers,512.59,4,0.1,54.38,Central,Home Office,0.10608868686474571,128.1475,No,2025-02
878a0485-7db7-4ebc-963a-3d3507f24cfd,2024-06-14,Return Technology,Technology,Copiers,330.91,1,0.0,62.66,East,Home Office,0.18935662264664105,330.91,No,2024-06
ca8c35f7-8e59-447a-a6f1-aa41d4cc2870,2025-02-01,Follow Furniture,Furniture,Chairs,879.23,2,0.0,140.49,East,Consumer,0.15978754137142728,439.615,No,2025-02
9fcf85de-4768-4fbb-9809-e40aa0f7fceb,2024-10-08,But Technology,Technology,Copiers,663.15,9,0.1,59.52,West,Consumer,0.08975344944582675,73.68333333333334,No,2024-10
87dc2a3c-727f-49d3-a9ae-492058e4a71f,2025-05-20,Father Office Supplies,Office Supplies,Binders,757.71,4,0.2,83.23,West,Home Office,0.10984413561916828,189.4275,No,2025-05
620dde11-3ac3-4a6a-a764-621eb041acbc,2024-10-14,Somebody Office Supplies,Office Supplies,Art,900.62,8,0.0,78.52,Central,Corporate,0.08718438409095956,112.5775,No,2024-10
0743d59a-7704-4aac-8986-6451b02f3db2,2024-08-12,Stand Technology,Technology,Accessories,558.38,10,0.1,28.52,East,Home Office,0.05107632794870876,55.838,No,2024-08
fc40a9ba-2925-4ccc-9b48-08b1312bfeb1,2025-01-01,Thus Office Supplies,Office Supplies,Art,76.73,1,0.2,4.65,East,Consumer,0.0606021112993614,76.73,No,2025-01
2a2f54a5-733c-4a00-8ebd-cbf137e4ac8f,2025-02-07,Say Technology,Technology,Accessories,543.84,10,0.3,47.01,South,Consumer,0.08644086496028243,54.384,Yes,2025-02
